judul,link,source,kategori,waktu,scraped_at
"Lembang Langganan Banjir, Bupati Bandung Barat Bilang Apa?",https://travel.detik.com/travel-news/d-8183651/lembang-langganan-banjir-bupati-bandung-barat-bilang-apa,Detik Travel,Travel,2025-10-29 11:41:00,2025-10-29 17:07:11
"Ada Kebakaran di Marina Bay Sands, Diduga Akibat Pekerjaan Las",https://travel.detik.com/travel-news/d-8183667/ada-kebakaran-di-marina-bay-sands-diduga-akibat-pekerjaan-las,Detik Travel,Travel,2025-10-29 11:19:00,2025-10-29 17:07:13
"Organda Geram, Banyak Bus Wisata Ilegal Masih Bebas Beroperasi di Jalan Raya!",https://travel.detik.com/travel-news/d-8183545/organda-geram-banyak-bus-wisata-ilegal-masih-bebas-beroperasi-di-jalan-raya,Detik Travel,Travel,2025-10-29 10:44:00,2025-10-29 17:07:14
Jembatan Kuning Nusa Lembongan-Ceningan Diperbaiki Setelah 2 Turis Belanda Celaka,https://travel.detik.com/travel-news/d-8183487/jembatan-kuning-nusa-lembongan-ceningan-diperbaiki-setelah-2-turis-belanda-celaka,Detik Travel,Travel,2025-10-29 10:21:00,2025-10-29 17:07:16
"Pesawat Wisata Jatuh di Kenya, 11 Orang Tewas",https://travel.detik.com/travel-news/d-8183432/pesawat-wisata-jatuh-di-kenya-11-orang-tewas,Detik Travel,Travel,2025-10-29 09:38:00,2025-10-29 17:07:17
"Semarang Banjir, 4 Perjalanan Kereta Api Disetop",https://travel.detik.com/travel-news/d-8183404/semarang-banjir-4-perjalanan-kereta-api-disetop,Detik Travel,Travel,2025-10-29 09:22:00,2025-10-29 17:07:19
"Halloween di Trans Studio Cibubur, Ada Rumah Hantu!",https://travel.detik.com/domestic-destination/d-8183338/halloween-di-trans-studio-cibubur-ada-rumah-hantu,Detik Travel,Travel,2025-10-29 08:32:00,2025-10-29 17:07:20
"Post, Surga Bagi Pencinta Buku Indie, di Pasar Santa",https://travel.detik.com/domestic-destination/d-8183297/post-surga-bagi-pencinta-buku-indie-di-pasar-santa,Detik Travel,Travel,2025-10-29 08:11:00,2025-10-29 17:07:22
Kapal Pesiar Ramah Muslim Pertama di Dunia Siap Berlayar dari Malaysia,https://travel.detik.com/travel-news/d-8183270/kapal-pesiar-ramah-muslim-pertama-di-dunia-siap-berlayar-dari-malaysia,Detik Travel,Travel,2025-10-29 07:18:00,2025-10-29 17:07:25
Festival Lampion Jadi Hujan Api di Bantul,https://travel.detik.com/travel-news/d-8183251/festival-lampion-jadi-hujan-api-di-bantul,Detik Travel,Travel,2025-10-29 06:17:00,2025-10-29 17:07:26
"Jalan-jalan di Petak 9, Jakarta Barat, Cicip Es Kopi Berusia 98 Tahun",https://travel.detik.com/fototravel/d-8183223/jalan-jalan-di-petak-9-jakarta-barat-cicip-es-kopi-berusia-98-tahun,Detik Travel,Travel,2025-10-29 06:12:00,2025-10-29 17:07:28
Bermain di RTH Kampung Kalibata Jagakarsa yang Baru Diresmikan Pramono Anung,https://travel.detik.com/cerita-perjalanan/d-8183205/bermain-di-rth-kampung-kalibata-jagakarsa-yang-baru-diresmikan-pramono-anung,Detik Travel,Travel,2025-10-29 05:05:00,2025-10-29 17:07:29
